#C  data file comments go here
1978 #_styr
2010 #_endyr
4 #_nseas
3 3 3 3 #_months/season
1 #_spawn_seas
7 #_Nfleet
7 #_Nsurveys
1 #_N_areas
SPTRAWL7%TRAWLOTH%FRNEP8%SPTRAWL8%GILLNET%LONGLINE%OTHERS%EVHOE%RESSGASCQ1%RESSGASCQ2%RESSGASCQ3%RESSGASCQ4%PORCUPINE%IGFS
 -1 -1 -1 -1 -1 -1 -1 0.5 0.5 0.5 0.5 0.5 0.9 0.5#_surveytiming_in_season
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 #_area_assignments_for_each_fishery_and_survey
 1 1 1 1 1 1 1 #_units of catch:  1=bio; 2=num
 0.1 0.1 0.1 0.1 0.1 0.1 0.1 #_se of log(catch) only used for init_eq_catch and for Fmethod 2 and 3
1 #_Ngenders
15 #_Nages

9859 15011  2381 13284  2395  3591  7043 #CF _init_equil_catch_for_each_fishery (average 10 years: 1978-1982)

132 #_N_lines_of_catch_to_read
#_catch_biomass(mtons):_columns_are_fisheries,year,season
#11158	12356	2015	15849	1751	1420	6003	1978	5
1232	862	264	1620	1763	1255	1444	1998	1
1759	655	437	1107	1809	1602	2122	1998	2
1129	648	425	1603	1530	1471	1814	1998	3
1240	1320	235	1258	1619	1437	1400	1998	4
1998	704	166	1011	2054	1426	1118	1999	1
1342	963	620	1327	2239	2278	2232	1999	2
1042	1198	427	1696	2088	2026	1548	1999	3
2195	1625	277	1186	1879	1551	1598	1999	4
2648	1028	131	1719	2602	1782	1184	2000	1
1977	1290	501	1580	2701	2740	1595	2000	2
1659	1107	310	1545	1903	2449	1817	2000	3
1571	1071	242	734	1755	1174	1211	2000	4
2335	585	88	1045	2016	2091	1554	2001	1
1787	1195	339	909	2468	2854	1865	2001	2
1184	883	345	681	1703	1812	1323	2001	3
1124	661	176	1205	1895	1881	671	2001	4
1151	633	88	1969	3077	1280	758	2002	1
1381	823	356	1616	3739	2482	1035	2002	2
1050	834	534	1664	2777	1697	1255	2002	3
1465	834	144	2386	2282	1562	1235	2002	4
2191	781	103	2689	3607	1816	703	2003	1
1723	937	343	1658	3358	2261	1231	2003	2
1483	963	381	838	2787	2026	1335	2003	3
1957	742	150	1508	2596	1932	1063	2003	4
2672	744	111	2631	3108	1927	932	2004	1
1917	716	263	1714	3862	2298	1662	2004	2
1605	693	351	1052	3772	2816	1721	2004	3
1752	780	211	1152	2419	2384	1152	2004	4
2642	870	137	2023	5821	1654	1465	2005	1
2024	764	288	857	3521	3108	1878	2005	2
1434	800	328	843	2758	2721	1746	2005	3
1412	868	172	1628	1894	1538	1356	2005	4
2351	615	73	1654	2553	2285	1625	2006	1
1934	639	265	1410	2261	2975	2353	2006	2
1163	604	253	789	2181	2348	1951	2006	3
1727	599	107	1537	1524	2440	1251	2006	4
2327	703	45	1227	2426	2316	1323	2007	1
2471	733	201	794	2621	3338	2890	2007	2
1713	945	333	911	1902	3182	2664	2007	3
1706	876	113	1768	1022	3098	1450	2007	4
2245	621	41	1908	3086	1862	1785	2008	1
1462	561	275	1256	2135	2824	3281	2008	2
1158	924	411	722	2054	2742	4036	2008	3
1420	918	200	2410	1681	3066	2739	2008	4
1659	748	71	2781	4013	1873	2835	2009	1
1226	999	654	1803	3946	3244	3813	2009	2
1287	1142	587	768	2968	3315	3630	2009	3
2258	900	256	2234	2420	3991	3554	2009	4
2234	845	60	2888	5622	4051	2931	2010	1
2036	1102	532	2311	3068	4360	4770	2010	2
2248	1151	658	1408	2819	5972	4136	2010	3
2456	726	125	2046	2785	6607	3178	2010	4

92 #_N_cpue_and_surveyabundance_observations 
